GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPDISPLAY,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPDATEFROM,GISPROD3OSMPTrailsOSMPDATETO,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPRID,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDIFFICULTY,GISPROD3OSMPTrailsOSMPDOGS,GISPROD3OSMPTrailsOSMPDOGREGGEN,GISPROD3OSMPTrailsOSMPDOGREGDESC,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresRID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID,GISPROD3OSMPTrailClosuresSEGMENTID
2808,OSMP,No,Yes,Hiking Trail,2015/06/30 00:00:00+00,2099/12/31 00:00:00+00,335-336-335,No,1420,335,0.232,1331,Lion's Lair Spur,{4A763B02-10E4-4103-A4F4-B1B4FA126C91},Moderate,No,No Dogs,No Dogs,1236,1420,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{9F2BB080-3DE7-4E01-97FD-1C4BB38CA552},335-336-335
2809,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-343-341,Yes,1448,288,0.077,419,Sanitas Valley,{67F10A79-7CA2-457B-BC18-468D4AB224CC},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1237,1448,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{ACDB6E46-A271-4FD5-AAD5-F0EED8C6F634},288-343-341
2810,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-341-342,Yes,1449,288,0.046,237,Sanitas Valley,{B0E67380-9978-47CC-AA4E-A85C48C99016},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1238,1449,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{4617677F-4264-4238-9FC3-9A2AC90D58C9},288-341-342
2811,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,293-339-341,Yes,1450,293,0.217,1169,East Ridge,{490EB1AD-26E6-4DF2-A82C-544716E0A2F8},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1254,1450,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{5B78116B-2660-43C4-BA61-CD306E3351C9},293-339-341
2812,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,293-334-339,Yes,1451,293,0.537,2990,East Ridge,{6C157D70-782A-46AD-B476-E82D0F53C3FD},Difficult,Yes,LVS,"Leash, Or Voice and Sight Control",1255,1451,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{058784E3-299C-448C-8A61-60AB97CA8DD5},293-334-339
2813,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,290-659-660,Yes,1622,290,0.007,-9999,Dakota Ridge,{B3D59F51-6F54-4E59-8735-AF32583F7BFB},Easy,Yes,LR,Leash Required,1256,1622,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{9F4F4A8A-BDA8-4318-9A14-FDD157CB6A45},290-659-660
2814,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-350-349,Yes,1436,290,0.076,416,Dakota Ridge,{446899A4-DA0B-434A-9678-0E03FD2EDDA1},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1257,1436,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{EAF30D79-AD73-4E00-BFC8-12D390C0A608},290-350-349
2815,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,290-660-351,Yes,1437,290,0.116,629,Dakota Ridge,{5FEAE2A0-490A-4DC6-8216-50EB24833CE8},Easy,Yes,LR,Leash Required,1258,1437,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{90AACCEE-2222-4C44-9F9B-51CB49D98E6A},290-660-351
2816,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-348-350,Yes,1438,290,0.134,716,Dakota Ridge,{0A0450CE-19F0-4301-A041-D85F8122CFC1},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1272,1438,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{78A3C16C-C36C-42D8-BC7E-696751256751},290-348-350
2817,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-348-347,Yes,1439,290,0.097,508,Dakota Ridge,{B98D9268-DFD5-4822-91B4-A69BA3FC156B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1273,1439,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{576A82D2-602F-47BA-A2BB-3FC96D22367F},290-348-347
2818,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-346-348,Yes,1440,290,0.184,1017,Dakota Ridge,{8832C0E6-23DC-4C0C-9501-A3F51F994D2D},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1274,1440,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{5E4C9A5D-B040-4B5C-AC89-0D196C4AFEFA},290-346-348
2819,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-346-345,Yes,1441,290,0.154,824,Dakota Ridge,{DF0ED3D6-A990-4806-BC19-A90AF9327B72},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1275,1441,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{22ED2FA5-59AC-48AF-AD87-12BD05553135},290-346-345
2820,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-347-345,Yes,1442,288,0.191,1006,Sanitas Valley,{7ABD5E5C-E1E2-4887-8FA2-44DA8722D1F7},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1276,1442,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{ADDF40D7-CBC6-4AE8-B8D5-DA90F86C2F61},288-347-345
2821,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-349-347,Yes,1443,288,0.181,973,Sanitas Valley,{029A4F01-B38A-49A5-8B9E-FC15A91828B7},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1277,1443,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{80843D8B-D070-491F-99FC-6FAC2835569C},288-349-347
2822,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-345-344,Yes,1444,288,0.435,2328,Sanitas Valley,{F5A479E6-A3ED-43D4-932E-99B86969D6FE},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1287,1444,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{F00F7FD2-9373-4C87-8AA2-752F6F38CFFE},288-345-344
2823,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,290-344-346,Yes,1445,290,0.55,2913,Dakota Ridge,{54E6A808-C073-4605-8C1D-A3809D923862},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1288,1445,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{91D3FB51-F240-4E31-98CF-37C5E232C913},290-344-346
2824,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-344-343,Yes,1446,288,0.032,172,Sanitas Valley,{C8369854-5731-4E6F-A4B3-023FEE72FCD4},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1289,1446,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{35382ABB-7295-4A93-9E1E-923C0D1908D1},288-344-343
2825,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,291-362-361,Yes,1447,291,0.153,835,Goat,{793DEC10-DDE8-4688-82F8-164CE17ADCD7},Moderate,Yes,LR,Leash Required,1290,1447,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{E681A921-BAA5-4296-B24C-B59A2B7E7078},291-362-361
2826,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,291-362-360,Yes,1595,291,0.058,314,Goat,{7E61A78E-C244-46B3-8614-C661F32CAA45},Easy,Yes,LR,Leash Required,1291,1595,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{85775503-F114-4BAF-9809-CC89FE5E38EA},291-362-360
2827,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,291-343-362,Yes,1609,291,0.404,2183,Goat,{E00A838C-2F2D-4F5A-B997-3B0CBF24072D},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1292,1609,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{19055A7E-71F5-4935-85E7-5B985382A832},291-343-362
2828,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,290-350-660,Yes,1623,290,0.098,514,Dakota Ridge,{817C9A25-14AE-4F4E-A565-C255025760D0},Moderate,Yes,LR,Leash Required,1293,1623,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{AA94950B-9ACD-4B93-9B30-A756C934EBCC},290-350-660
2829,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,288-354-353,Yes,1432,288,0.074,-9999,Sanitas Valley,{5C5E1297-319D-48F8-B890-1D6B1BCA0911},Easy,Yes,LR,Leash Required,1294,1432,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{AF905E06-2304-4D5D-A125-870FE01C4FFB},288-354-353
2830,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,297-352-328,Yes,1427,297,0.044,-9999,Sanitas Spur,{32810B52-5079-4E4B-AD50-3097C8314B29},Moderate,Yes,LR,Leash Required,1295,1427,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{65265F84-F963-40CE-9F15-B3E69CF92764},297-352-328
2831,OSMP,No,Yes,Hiking Trail,2017/01/01 00:00:00+00,2099/12/31 00:00:00+00,289-326-325,Yes,1454,289,0.004,-9999,Mount Sanitas,{17AB4D80-C9D5-45A0-9028-5D71E9EBF856},Easy,Yes,LR,Leash Required,1296,1454,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{5C16A39B-CE0C-4D22-A4F4-25353D658940},289-326-325
2832,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-328-327,Yes,1425,289,0.048,-9999,Mount Sanitas,{CF8805DE-83E2-4919-A583-B6921D54E08A},Difficult,Yes,LR,Leash Required,1297,1425,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{00688005-3C3F-4CDA-9259-D64F1E7454A5},289-328-327
2833,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,289-327-326,Yes,1426,289,0.026,-9999,Mount Sanitas,{4F914980-1616-44B6-9B7E-4965F7C01946},Easy,Yes,LR,Leash Required,1298,1426,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{EE79EA1D-F3B6-4C0D-8A6B-33E082DA514A},289-327-326
2834,OSMP,No,Yes,Hiking Trail,2015/07/14 00:00:00+00,2099/12/31 00:00:00+00,297-352-327,Yes,1428,297,0.043,240,Sanitas Spur,{BD17E637-EA11-48D0-BDEC-BCDB1498A42C},Moderate,Yes,LR,Leash Required,1299,1428,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{571E4AD7-8CAD-43B5-B5FA-B57497A18550},297-352-327
2835,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-353-352,Yes,1433,288,0.029,159,Sanitas Valley,{E209D7AB-3C72-49BA-BA5A-C5078C9D4DC8},Easy,Yes,LR,Leash Required,1300,1433,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{3D6B5F83-762E-48CE-9291-0D4A79DA635A},288-353-352
2836,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-355-353,Yes,1434,288,0.055,279,Sanitas Valley,{9FB26C33-55EA-4AC5-8ECB-08F731A8FAF2},Easy,Yes,LR,Leash Required,1301,1434,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{BCB7ED8B-B6EC-4519-8B89-4B8E9A397EC6},288-355-353
2837,OSMP,No,Yes,Hiking Trail,2016/03/30 00:00:00+00,2099/12/31 00:00:00+00,288-352-349,Yes,1435,288,0.158,829,Sanitas Valley,{BFB19673-80C4-4DF0-A500-1B35370AC3B9},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1302,1435,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{7F01253D-5210-4ED6-A1EE-9EC95C1B6F3C},288-352-349
2838,OSMP,No,Yes,Hiking Trail,2012/10/31 00:00:00+00,2099/12/31 00:00:00+00,323-322-323,Yes,1453,323,1.085,5762,Sunshine Canyon,{A6103DB0-365B-49B6-9D5B-295D05692265},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1303,1453,,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{DD294549-7B4B-4581-B4CE-F278784BE23E},323-322-323
2839,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,309-326-324,Yes,1455,309,0.034,168,Sanitas Connector,{F6939E5A-3D39-478C-A48E-2D94DA014C52},Easy,Yes,LR,Leash Required,1304,1455,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{F3C7E53B-4ECF-4861-8E82-8467AD9D3771},309-326-324
2840,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,308-300-303,Yes,1476,308,0.049,149,Red Rocks Spur,{AC0A6A5F-657F-451F-ADD1-15FC5BED4420},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1601,1476,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{7F03423A-0DB8-4904-8AD1-EB47BF2E5E99},308-300-303
2841,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,286-319-318,Yes,1456,286,0.015,75,Red Rocks,{512F67BA-115B-4D57-A36D-28B7D248F25C},Easy,Yes,LR,Leash Required,1305,1456,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{A672E172-DECA-432A-B239-600D712080B3},286-319-318
2842,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,308-320-318,Yes,1457,308,0.023,130,Red Rocks Spur,{8383B690-F6AB-44AC-BB8F-42B1EC10F254},Easy,Yes,LR,Leash Required,1306,1457,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{9F72015E-F2DE-42B6-9045-FF3F88C30A0A},308-320-318
2843,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,308-321-320,Yes,1458,308,0.051,273,Red Rocks Spur,{043D98F6-BF0D-4A87-96D4-DC2F430ECC43},Easy,Yes,LR,Leash Required,1307,1458,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{C31692B2-9048-4B0E-9C1D-7C093E7DDD07},308-321-320
2844,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,286-322-321,No,1459,286,0.035,167,Red Rocks,{ABB6C147-2DF6-40A0-965E-DD62EF8D8615},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1308,1459,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{517D4889-FC1F-480E-9CD9-7AF124B74D2C},286-322-321
2845,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,286-318-322,Yes,1460,286,0.065,349,Red Rocks,{F2CE0E77-B8D4-4485-883A-AAAC173FCFEF},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1309,1460,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{88979677-5B87-4B18-9AC1-730533A3A057},286-318-322
2846,OSMP,No,Yes,Hiking Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,308-316-318,Yes,1461,308,0.029,157,Red Rocks Spur,{6BBA2638-4CF6-4C28-9701-A79B9B7E77C0},Easy,Yes,LR,Leash Required,1310,1461,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{A6C65802-AF6B-429E-9FD6-BF121DA428C4},308-316-318
2847,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-316-317,Yes,1462,308,0.028,160,Red Rocks Spur,{20933BC0-BDF8-4B4F-BC84-87AE8BF05141},Moderate,Yes,LR,Leash Required,1311,1462,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{8EC20080-7096-43DC-A1BC-F324B7921E8C},308-316-317
2848,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-315-316,Yes,1463,308,0.04,165,Red Rocks Spur,{1B665BD0-D696-4563-9A71-48305BE7BA60},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1312,1463,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{C83DC173-E8E8-4580-8FE5-71DD1E3F2599},308-315-316
2849,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,286-322-313,Yes,1464,286,0.036,188,Red Rocks,{F5BB2194-BE3D-49BD-8252-556D247A1410},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1313,1464,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/osmp-projects,Trail closed 8/17 for helicopter work,{74F886C6-B07C-4FC5-B4A6-F81A07BCA39B},286-322-313
2850,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-310-315,Yes,1465,308,0.087,488,Red Rocks Spur,{DC6D946F-C45F-4F46-B727-5205CC6EE98B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1314,1465,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{38EF13BE-9C6B-4A02-AD61-18E2A911957F},308-310-315
2851,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-310-311,Yes,1466,308,0.048,214,Red Rocks Spur,{4940929E-04B1-4E9E-B026-9E0D0D3B145B},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1315,1466,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{773576DD-5BCE-4B21-84D2-DC9C39F2553C},308-310-311
2852,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-309-310,Yes,1467,308,0.059,316,Red Rocks Spur,{6107C8A3-2457-4FC6-B0EA-EB6E29C53806},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1316,1467,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{40BC64D9-63CC-48D7-9171-4EDD4317B09E},308-309-310
2853,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,286-313-306,Yes,1468,286,0.122,651,Red Rocks,{B448A4AB-D597-4FD3-B121-74E9D39EDF7C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1317,1468,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/osmp/osmp-projects,Trail closed 8/17 for helicopter work,{6B8016A4-8985-4550-9B12-56822276A905},286-313-306
2854,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-308-309,Yes,1469,308,0.028,145,Red Rocks Spur,{E70574EF-E916-445A-BBBA-82422376492C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1318,1469,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{6DD415EF-AF5B-4503-9C00-3B098628E065},308-308-309
2855,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-304-308,Yes,1470,308,0.046,248,Red Rocks Spur,{59AD9238-E02F-455F-B3B3-2ACEB5E3FE74},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1319,1470,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{EDFC7A7B-8710-4E3B-8DF6-891E8ACC3CEC},308-304-308
2856,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-303-308,Yes,1471,308,0.047,274,Red Rocks Spur,{10961410-56EF-4158-8DF3-9CB490919299},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1320,1471,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{6ED60485-3182-4214-908C-25F8814714B6},308-303-308
2857,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-309-300,Yes,1472,308,0.048,257,Red Rocks Spur,{EF522E86-BC41-4229-A2DD-0CA0940CE39A},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1321,1472,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{4C2C5F14-7096-49CA-925F-4C1B87972FC1},308-309-300
2858,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-303-304,Yes,1473,308,0.023,108,Red Rocks Spur,{CDD36A45-5FD8-48BC-9093-E633B2FC025C},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1322,1473,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{29A6299F-D537-4F4F-9C71-BD2CDF54CE21},308-303-304
2859,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-304-305,Yes,1474,308,0.031,175,Red Rocks Spur,{0461D330-3C64-4E52-B551-5500AB59F0C8},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1323,1474,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{384B114B-AC55-4D05-B2BD-C8A1321AA925},308-304-305
2860,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-306-305,Yes,1475,308,0.01,53,Red Rocks Spur,{968C5FC9-E76B-4F63-B946-2CD26588C2C8},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1324,1475,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{45DBEFB6-B527-4FAF-A3E9-2A54479AD443},308-306-305
2861,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-305-302,Yes,1477,308,0.065,354,Red Rocks Spur,{BDA6A312-2EC2-4DE5-B148-20DFAD854809},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1325,1477,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{4BE87FA4-E2CF-44C3-BAA6-47C34E3FEF6B},308-305-302
2862,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-302-304,Yes,1478,308,0.041,234,Red Rocks Spur,{FDF35151-93E8-4A30-ACA0-0DF8002AD470},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1326,1478,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{F60CBC3A-F3ED-48DC-81D8-45A70710778E},308-302-304
2863,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-302-297,Yes,1479,308,0.058,309,Red Rocks Spur,{D730C5C1-9EDF-4A81-8D01-2C589909CD80},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1327,1479,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,Trail closed 8/17 for helicopter work,{D735453B-3AD3-4592-B186-38711E1C6423},308-302-297
2864,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-301-300,Yes,1480,308,0.053,288,Red Rocks Spur,{E1D55B45-AB49-4488-90AE-B3507297EED3},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1328,1480,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{68A61AEE-6CED-424A-A44E-CCB4BD11BD40},308-301-300
2865,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-301-297,Yes,1481,308,0.041,224,Red Rocks Spur,{A4633C51-295A-4A55-AABD-7743FFBDB123},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1329,1481,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{E0A549EE-7FED-4AE4-AE23-B280F56910C8},308-301-297
2866,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-299-301,Yes,1484,308,0.022,120,Red Rocks Spur,{FDEF4953-6AF2-453B-AFB9-99495DE3A355},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1331,1484,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{2A690E4B-D15A-4C27-8812-3C6970454358},308-299-301
2867,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,308-300-299,Yes,1485,308,0.053,292,Red Rocks Spur,{FF9F08DA-15C6-4BAB-B76E-7A2EA281E885},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1332,1485,Until Further Notice,,,Open,Intermittent Closure,,https://bouldercolorado.gov/services/osmp-closures,Trail intermittently closed 11/16-11/19,{9015E954-8A90-4433-A98A-1FECE7A5E078},308-300-299
