GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPDISPLAY,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPDATEFROM,GISPROD3OSMPTrailsOSMPDATETO,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPRID,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDIFFICULTY,GISPROD3OSMPTrailsOSMPDOGS,GISPROD3OSMPTrailsOSMPDOGREGGEN,GISPROD3OSMPTrailsOSMPDOGREGDESC,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresRID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID,GISPROD3OSMPTrailClosuresSEGMENTID
2677,OSMP,No,Yes,Hiking Trail,2003/01/28 00:00:00+00,2099/12/31 00:00:00+00,209-227-229,Yes,1180,209,0.448,-9999,Eldorado Canyon,{C4578C00-666C-4617-B553-A1B45F15DF59},Difficult,Yes,LR,Leash Required,1087,1180,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{38E08E3F-D4D2-401D-A33B-6EA7049C4C1E},209-227-229
2678,OSMP,No,Yes,Hiking Trail,2013/01/28 00:00:00+00,2099/12/31 00:00:00+00,209-229-231,Yes,1183,209,0.312,-9999,Eldorado Canyon,{10A75C86-3349-4166-BF8E-FEBB75F03D5D},Difficult,Yes,LR,Leash Required,1088,1183,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{20FCADD7-94C8-461F-B200-4DA1C781CA59},209-229-231
2679,OSMP,No,Yes,Hiking Trail,2016/12/31 00:00:00+00,2099/12/31 00:00:00+00,228-247-679,No,1639,228,0.035,-9999,Green Mountain West Ridge,{1C46C186-2830-42FB-81A7-D4CE896DFEA8},Moderate,Yes,LVS,On-Corridor Voice and Sight,1089,1639,,,,Open,,,https://bouldercolorado.gov/services/osmp-closures,,{290287BC-9B31-4BDC-B3A3-C0C61D57E5AA},228-247-679
2680,OSMP,Yes,Yes,Multi-Use Trail,2016/06/07 00:00:00+00,2099/12/31 00:00:00+00,420-657-658,Yes,1018,420,1.953,10457,Joder Ranch,{516AAE89-7726-4C99-A3C1-6E170B33E9C4},Difficult,Yes,RV,Leash Required on Portion of Trail,1098,1018,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{995F9DE8-7598-45F8-9FFA-071245796097},420-657-658
2681,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-661-662,No,1020,417,0.03,159,Buckingham Park,{6F217AB6-26E3-42E6-BBAB-4287FE1D4DBD},Easy,Yes,LR,Leash Required,1099,1020,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{183C2D21-9BE2-4F0C-AB76-59FCFA58B6BE},417-661-662
2682,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-662-663,No,1021,417,0.039,208,Buckingham Park,{2ADB7EEB-FC90-4097-86BF-9DF2AE1FE14C},Easy,Yes,LR,Leash Required,1100,1021,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{0B2A411C-DC03-4C0E-9661-000FCC07E552},417-662-663
2683,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-663-664,No,1022,417,0.047,251,Buckingham Park,{A9B8D139-328D-4EC2-B637-38DE6B816B6C},Easy,Yes,LR,Leash Required,1101,1022,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{D404B829-0FDA-4030-9805-B932683C5492},417-663-664
2684,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-664-665,No,1023,417,0.01,52,Buckingham Park,{B8CF7D4D-1C2A-47E3-8F56-B8DF47B9E13E},Easy,Yes,LR,Leash Required,1102,1023,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{79998198-C9CA-451E-8318-10284300BDA3},417-664-665
2685,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-666-665,No,1024,417,0.004,19,Buckingham Park,{B0A77F37-72CA-4FF5-B33C-79E14A268531},Moderate,Yes,LR,Leash Required,1103,1024,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{8134D983-4F08-49E9-84F3-DE2F8B6DBF2C},417-666-665
2686,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-665-663,No,1025,417,0.022,109,Buckingham Park,{F0C1B4E0-338B-48F7-A89C-9CCBFF0E8FAC},Easy,Yes,LR,Leash Required,1104,1025,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{9C0A4B9E-DF0D-4289-95F5-C858A2969E90},417-665-663
